3940,9,3940,2370,3.75,3,0,5.0,47.6203,0,64,1,0,0
4430,12,4430,3900,4.0,0,0,4.0,47.6422,0,17,0,0,0
6200,11,5050,3700,4.5,1,1150,5.0,47.5632,0,26,0,0,1
3330,8,1940,3730,1.75,4,1390,3.0,47.5287,1,55,0,0,1
4065,10,4065,3070,3.5,0,0,4.0,47.6209,0,27,0,1,0
7420,12,7420,5610,3.25,3,0,4.0,47.4548,0,13,0,0,0
3440,8,2170,3170,2.5,4,1270,4.0,47.7364,1,3,0,0,0
4640,11,2860,3230,3.5,1,1780,7.0,47.5666,0,49,0,0,1
4150,9,3130,3930,3.75,0,1020,4.0,47.639,0,52,0,1,0
4020,10,2830,3150,2.75,4,1190,4.0,47.6042,0,26,1,0,0
4690,11,3480,2800,4.0,0,1210,4.0,47.6165,0,13,1,0,0
7220,12,6220,2680,5.75,4,1000,4.0,47.7097,0,15,0,0,0
4280,11,4280,3420,3.25,0,0,4.0,47.6377,0,30,1,0,0
4830,11,3710,4470,4.25,2,1120,5.0,47.5789,0,100,0,0,0
3950,11,2880,3050,4.5,3,1070,3.0,47.6413,0,16,0,0,0
7730,12,6660,2660,5.75,0,1070,5.0,47.7615,0,11,0,0,0
3070,9,2070,3780,2.5,3,1000,4.0,47.64,0,64,0,1,0
4210,11,4210,3520,3.5,0,0,4.0,47.6206,0,14,0,1,0
3020,10,2110,3890,2.25,3,910,4.0,47.5395,1,99,0,0,1
4280,9,3900,3590,2.75,0,380,4.0,47.6185,0,67,1,0,0
3680,9,3680,3410,2.5,2,0,4.0,47.6154,0,68,1,0,0
6510,11,3250,4480,4.25,3,3260,5.0,47.5758,0,34,0,0,1
3150,10,3150,2510,3.75,0,0,3.0,47.6387,0,8,0,0,0
5080,11,5080,4730,3.25,0,0,4.0,47.5423,0,13,0,0,0
3690,12,3690,2310,2.75,4,0,2.0,47.4485,1,25,0,0,0
4020,10,4020,1960,4.5,0,0,4.0,47.6358,0,8,1,0,0
4285,10,4285,1570,4.25,0,0,4.0,47.6332,0,1,1,0,0
4180,11,4180,2950,3.5,0,0,5.0,47.5873,0,10,1,0,0
3260,10,2170,3480,2.75,0,1090,4.0,47.6245,0,46,0,1,0
2620,9,2620,3400,2.75,1,0,3.0,47.6144,0,65,0,1,0
4390,9,3170,2740,3.5,3,1220,5.0,47.6789,0,1,0,0,0
3930,10,3930,1780,3.25,0,0,4.0,47.6259,0,8,1,0,0
5810,10,3790,3010,5.0,0,2020,4.0,47.6878,0,10,0,0,0
3280,11,3280,3530,2.5,3,0,3.0,47.6699,1,89,0,0,0
4510,10,4510,3510,4.0,0,0,5.0,47.5309,0,45,0,0,1
3790,11,3290,2660,3.75,0,500,4.0,47.6351,0,9,0,1,0
2950,9,2550,3260,2.5,2,400,4.0,47.5988,0,64,1,0,0
3830,11,2370,3080,2.5,4,1460,4.0,47.7404,1,34,0,0,0
3680,9,2630,3050,3.25,0,1050,5.0,47.6341,0,89,0,0,0
3480,8,3480,2200,3.25,0,0,4.0,47.6353,0,0,0,0,0
4160,10,4160,1840,3.25,0,0,4.0,47.6235,0,1,1,0,0
4500,11,2630,3030,4.25,3,1870,4.0,47.559,0,5,0,0,0
6030,11,4440,4040,3.75,0,1590,3.0,47.6055,0,23,1,0,0
3330,9,3330,2870,2.25,0,0,3.0,47.6395,0,47,1,0,0
6380,12,6380,3040,4.5,0,0,4.0,47.5592,0,8,0,0,0
6640,12,6640,4620,4.5,0,0,4.0,47.7283,0,21,0,0,0
3880,10,3880,3470,3.0,0,0,5.0,47.5467,0,42,0,0,1
4510,12,4510,2200,4.5,2,0,4.0,47.6491,0,16,0,0,0
4250,11,2490,3620,2.5,1,1760,5.0,47.6377,0,31,1,0,0
3890,10,2260,3450,3.25,0,1630,5.0,47.6312,0,38,1,0,0
4460,9,2550,1980,3.5,0,1910,4.0,47.6338,0,52,0,1,0
4320,8,4320,1920,3.75,4,0,5.0,47.7519,1,76,0,0,0
6370,12,6370,1490,3.5,0,0,4.0,47.5016,0,7,0,0,0
2790,10,2370,3140,3.0,4,420,3.0,47.5466,1,82,0,0,0
4490,10,3930,2490,5.0,0,560,5.0,47.5974,0,1,1,0,0
4400,11,3390,2150,4.5,0,1010,5.0,47.6232,0,11,1,0,0
4060,11,4060,3220,3.25,3,0,4.0,47.581,0,14,0,0,1
5270,10,4010,3550,3.25,1,1260,5.0,47.5536,0,37,0,0,1
2880,9,1660,3750,2.75,3,1220,5.0,47.6267,0,55,1,0,0
4360,10,3530,2680,3.75,4,830,5.0,47.6936,0,1,0,0,0
5490,12,2910,4290,3.5,4,2580,4.0,47.5511,0,18,0,0,0
4890,13,4890,5790,3.25,0,0,4.0,47.5303,0,10,0,0,0
3950,10,3950,3000,3.25,0,0,4.0,47.5877,0,12,1,0,0
4320,10,2160,3430,2.25,0,2160,3.0,47.6368,0,42,1,0,0
3730,11,3730,3730,3.25,2,0,4.0,47.6292,0,30,0,0,0
2580,9,2580,2410,2.5,2,0,3.0,47.6199,0,64,1,0,0
5440,12,5440,4830,3.5,0,0,4.0,47.6605,0,24,0,0,0
3980,10,3980,2450,3.25,0,0,4.0,47.5873,0,3,1,0,0
3060,10,3060,3510,2.25,0,0,3.0,47.6189,0,26,0,1,0
6055,12,3555,4890,5.0,3,2500,4.0,47.5524,0,18,0,0,0
3860,12,3860,4410,4.0,2,0,4.0,47.7469,0,88,0,0,0
